value #1,value #2,value #3,value #4,value #5,value #6,value #7,value #8
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,ArborXR Home,10,00:36:19,00:19:11,00:17:08,00:01:43,00:06:52
,GoMi-VR,10,00:20:57,00:03:21,00:17:36,00:01:46,00:13:27
,GoMi-VR,10,00:20:57,00:03:21,00:17:36,00:01:46,00:13:27
,GoMi-VR,10,00:20:57,00:03:21,00:17:36,00:01:46,00:13:27
,GoMi-VR,10,00:20:57,00:03:21,00:17:36,00:01:46,00:13:27
,ArborXR Client App,2,01:09:07,01:04:32,00:04:35,00:02:18,00:04:14
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,Mariposario,21,01:05:23,00:03:43,01:01:40,00:02:56,00:14:54
,ArborXR Home,10,00:36:19,00:19:11,00:17:08,00:01:43,00:06:52
,ArborXR Home,10,00:36:19,00:19:11,00:17:08,00:01:43,00:06:52
,ArborXR Home,10,00:36:19,00:19:11,00:17:08,00:01:43,00:06:52
,ArborXR Home,10,00:36:19,00:19:11,00:17:08,00:01:43,00:06:52